clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
i10_i16_TSPAN12_Vip_Mybpc1,HCRTR2,0.013276447832297948,7.0866823,0.9096095641454061
i10_i16_TSPAN12_Vip_Mybpc1,ILF2,0.006120066852366421,1.0,0.8666666666666667
i10_i16_TSPAN12_Vip_Mybpc1,CRH,0.01201931126988651,8.316383,0.8364953557650249
i11_i6_EGF_Vip_Mybpc1,EGF,0.017252729780411702,7.836171,1.0
i11_i6_EGF_Vip_Mybpc1,FZD8,0.00992564623911185,1.0,1.0
i11_i6_EGF_Vip_Mybpc1,BRAT1,0.008090592578705515,3.683161,1.0
i11_i6_EGF_Vip_Mybpc1,RHPN1,0.006604553000235836,0.79248124,1.0
i11_i6_EGF_Vip_Mybpc1,SLC47A2,0.006541724322648649,2.761781,1.0
i11_i6_EGF_Vip_Mybpc1,GOLGA2P8,0.006697553118590036,1.0,1.0
i11_i6_EGF_Vip_Mybpc1,LINC00861,0.006628813674360154,2.0,1.0
i11_i6_EGF_Vip_Mybpc1,MLX,0.006381894400726555,2.1239638,0.9843060731887817
i11_i6_EGF_Vip_Mybpc1,FAM133A,0.009425185874391617,8.373571,0.9446397463480631
i11_i6_EGF_Vip_Mybpc1,SNRPD1,0.006476055400548768,2.7131324,0.9364827036857605
i1_i90_COL5A2_Ndnf_Car4,NMBR,0.0462255961301998,5.2073426,1.0
i1_i90_COL5A2_Ndnf_Car4,BMP2,0.02122620932478895,1.0,1.0
i1_i90_COL5A2_Ndnf_Car4,COL5A2,0.11308823526045847,9.2488985,0.9855838696161906
i1_i90_COL5A2_Ndnf_Car4,ADRA1D,0.018106938725506592,2.696159,0.934203581015269
i1_i90_COL5A2_Ndnf_Car4,TRPC3,0.02070287421002536,5.7813597,0.9333333333333333
i1_i90_COL5A2_Ndnf_Car4,PAPSS2,0.02255262808711514,6.7548256,0.9333333333333333
i1_i90_COL5A2_Ndnf_Car4,BMP6,0.029078980024228616,6.679326,0.9226675709088643
i1_i90_COL5A2_Ndnf_Car4,CBLN4,0.02879414801181018,6.9942536,0.9186078627904256
i1_i90_COL5A2_Ndnf_Car4,NDNF,0.062493099985584874,8.08461,0.8976689736048381
i1_i90_COL5A2_Ndnf_Car4,FREM1,0.05798131510751919,9.038896,0.8366525570551554
i2_i77_LHX6_Sst_Cbln4,LHX6,0.0995339390321063,4.643856,1.0
i2_i77_LHX6_Sst_Cbln4,CALB1,0.0455921308850995,4.9068904,1.0
i2_i77_LHX6_Sst_Cbln4,TAC1,0.03840761536849796,2.0,1.0
i2_i77_LHX6_Sst_Cbln4,RSPO3,0.035618420661583584,1.0,1.0
i2_i77_LHX6_Sst_Cbln4,TRBC2,0.036315810807539886,5.044394,1.0
i2_i77_LHX6_Sst_Cbln4,GRIK3,0.09754133494797904,7.6293564,0.9912618239720662
i2_i77_LHX6_Sst_Cbln4,RNF152,0.017035588315085597,2.321928,0.9569323420524597
i2_i77_LHX6_Sst_Cbln4,CNTNAP3,0.0336121674420967,5.2094536,0.9027430136998494
i2_i77_LHX6_Sst_Cbln4,CUX2,0.027967761556056524,7.8009,0.8859214663505555
i2_i77_LHX6_Sst_Cbln4,NXPH2,0.024845787870613402,7.5622425,0.8376702626546224
i3_i56_BAGE2_Ndnf_Cxcl14,SCN5A,0.04245377740279986,2.160964,0.9691495736440022
i3_i56_BAGE2_Ndnf_Cxcl14,ST8SIA2,0.014597668589680717,1.0,0.9333333333333333
i3_i56_BAGE2_Ndnf_Cxcl14,GREM2,0.050358506349945965,5.70044,0.8906636953353881
i3_i56_BAGE2_Ndnf_Cxcl14,SYT10,0.06938779234454295,7.3748035,0.8708965023358662
i3_i56_BAGE2_Ndnf_Cxcl14,ARHGAP18,0.062010264668934174,7.0978785,0.8666666666666667
i3_i56_BAGE2_Ndnf_Cxcl14,ZNF423,0.016538652151146742,1.5849625,0.8666666666666667
i3_i56_BAGE2_Ndnf_Cxcl14,GRB14,0.037753474808824544,6.5077076,0.8582553863525391
i3_i56_BAGE2_Ndnf_Cxcl14,PCDH18,0.03063966632810005,6.2205644,0.8486162106196086
i3_i56_BAGE2_Ndnf_Cxcl14,CD36,0.021445078053483065,5.985053,0.8296641747156779
i3_i56_BAGE2_Ndnf_Cxcl14,AVEN,0.02140989238666764,4.0221972,0.8096462686856588
i4_i54_MC4R_Ndnf_Cxcl14,EGFL6,0.01533257482080835,2.5,0.9373274683952332
i4_i54_MC4R_Ndnf_Cxcl14,ADAM33,0.06502560406099653,6.9709826,0.9081125815709432
i4_i54_MC4R_Ndnf_Cxcl14,PGAM1P5,0.041548296311608515,7.832765,0.8902078549067179
i4_i54_MC4R_Ndnf_Cxcl14,CHRNB3,0.015757195555425808,3.0646415,0.8898263454437256
i4_i54_MC4R_Ndnf_Cxcl14,NDNF,0.018738779944121778,7.209157,0.8852422753969829
i4_i54_MC4R_Ndnf_Cxcl14,CD36,0.05239046939612658,7.988405,0.8710996389389039
i4_i54_MC4R_Ndnf_Cxcl14,ASIC4,0.018014595015645125,4.038408,0.8688377737998962
i4_i54_MC4R_Ndnf_Cxcl14,BCAS1,0.05688903928926903,5.938642,0.8666666666666667
i4_i54_MC4R_Ndnf_Cxcl14,RXRG,0.02427861951265411,5.9511876,0.861124869187673
i4_i54_MC4R_Ndnf_Cxcl14,UNC5B,0.012684771464937697,3.7924814,0.835157287120819
i5_i47_TRPC3_Ndnf_Car4,SOX13,0.013320427080392777,3.9068906,1.0
i5_i47_TRPC3_Ndnf_Car4,SSTR2,0.022576730099125454,6.228819,0.9785941203435262
i5_i47_TRPC3_Ndnf_Car4,TRPC3,0.03273998322905291,8.129283,0.9525881965955099
i5_i47_TRPC3_Ndnf_Car4,PAPSS2,0.013946282764939257,7.4757333,0.9397622028986613
i5_i47_TRPC3_Ndnf_Car4,CA2,0.02223601748850945,7.4178524,0.874972935517629
i5_i47_TRPC3_Ndnf_Car4,HAPLN1,0.019632845215501307,7.7210994,0.8665777405103048
i5_i47_TRPC3_Ndnf_Car4,TACR1,0.03291182952212218,7.5157,0.8629942059516906
i5_i47_TRPC3_Ndnf_Car4,TOX2,0.013612970141094178,7.098032,0.8525539040565491
i5_i47_TRPC3_Ndnf_Car4,NXPH2,0.017997637499069755,8.2620945,0.8514206250508626
i5_i47_TRPC3_Ndnf_Car4,ST6GAL2,0.013461346109629267,7.7615514,0.8367902954419454
i6_i44_GPR149_Vip_Mybpc1,CXCL12,0.036040578366893866,3.4594316,1.0
i6_i44_GPR149_Vip_Mybpc1,IL12RB2,0.014585588180628873,3.6427011,0.9816985607147217
i6_i44_GPR149_Vip_Mybpc1,SHISA8,0.030469352192180624,2.160964,0.9447011868158977
i6_i44_GPR149_Vip_Mybpc1,IGFBP5,0.03296606396897257,6.4560704,0.9313942233721415
i6_i44_GPR149_Vip_Mybpc1,PXDN,0.01899989819390227,6.275854,0.8995786587397258
i6_i44_GPR149_Vip_Mybpc1,ASIC4,0.0206241573509986,4.522197,0.8828696370124817
i6_i44_GPR149_Vip_Mybpc1,LGI2,0.01930836750739302,5.7929506,0.8744808872540791
i6_i44_GPR149_Vip_Mybpc1,PTHLH,0.03210544552444673,7.124112,0.8701607942581177
i6_i44_GPR149_Vip_Mybpc1,TBL1X,0.01585984464278232,6.491853,0.8462777654329936
i6_i44_GPR149_Vip_Mybpc1,CCNG2,0.01853289494114408,7.4552746,0.8158084789911906
i7_i31_CLMP_Ndnf_Cxcl14,FGF10,0.0209452929345515,2.807355,1.0
i7_i31_CLMP_Ndnf_Cxcl14,RASSF3,0.01372320076691448,4.807355,1.0
i7_i31_CLMP_Ndnf_Cxcl14,CLMP,0.015478576965650912,4.5849624,0.9854597131411235
i7_i31_CLMP_Ndnf_Cxcl14,PAX6,0.02934479946501617,6.3750396,0.960743800799052
i7_i31_CLMP_Ndnf_Cxcl14,SP8,0.021575763543301235,4.0,0.9485839565594991
i7_i31_CLMP_Ndnf_Cxcl14,CPLX3,0.011548960656767183,6.643856,0.9397939999898275
i7_i31_CLMP_Ndnf_Cxcl14,TGFBR2,0.03269711884844207,5.523562,0.9333333333333333
i7_i31_CLMP_Ndnf_Cxcl14,BCHE,0.011963259667485683,5.4594316,0.9333333333333333
i7_i31_CLMP_Ndnf_Cxcl14,WIF1,0.0334740465407527,8.447083,0.9242688775062561
i7_i31_CLMP_Ndnf_Cxcl14,ABCB5,0.019220332075418345,4.4594316,0.9149051189422608
i8_i27_SNCG_Vip_Mybpc1,SNCG,0.0251512087434861,5.169925,1.0
i8_i27_SNCG_Vip_Mybpc1,EDNRA,0.021560984097236037,5.857981,1.0
i8_i27_SNCG_Vip_Mybpc1,MMRN2,0.019140216627353997,5.169925,1.0
i8_i27_SNCG_Vip_Mybpc1,FBN3,0.008332430239219054,1.0,1.0
i8_i27_SNCG_Vip_Mybpc1,RGS2,0.009091262554975638,7.0768156,0.9811591307322184
i8_i27_SNCG_Vip_Mybpc1,SCML4,0.014335025367043633,4.169925,0.9734453439712525
i8_i27_SNCG_Vip_Mybpc1,NRP2,0.010285972922456948,5.857981,0.9663883606592815
i8_i27_SNCG_Vip_Mybpc1,LYPD1,0.009993453455905323,5.5849624,0.9579561789830525
i8_i27_SNCG_Vip_Mybpc1,SAMD5,0.010846610659175504,7.228819,0.9480902393658955
i8_i27_SNCG_Vip_Mybpc1,ARHGAP18,0.013201950923762975,8.2620945,0.8774418632189432
i9_i22_TAC3_Vip_Mybpc1,BSPRY,0.024135899556545413,2.1961586,1.0
i9_i22_TAC3_Vip_Mybpc1,MCTP2,0.02055756604651978,5.3571224,1.0
i9_i22_TAC3_Vip_Mybpc1,OFD1P10Y,0.02096025959156387,1.0,1.0
i9_i22_TAC3_Vip_Mybpc1,FHDC1,0.00895780373590242,0.5,1.0
i9_i22_TAC3_Vip_Mybpc1,ARHGAP29,0.010708749824974998,5.7959948,1.0
i9_i22_TAC3_Vip_Mybpc1,ANGPT1,0.017410621783361703,8.395531,0.9348318815231323
i9_i22_TAC3_Vip_Mybpc1,FOSL2,0.008614382035343527,3.6333933,0.9129202167193095
i9_i22_TAC3_Vip_Mybpc1,ZBTB18,0.013056949633686301,5.824853,0.8773105462392171
i9_i22_TAC3_Vip_Mybpc1,PTHLH,0.010497892187612639,6.697298,0.8618862311045329
i9_i22_TAC3_Vip_Mybpc1,CHRNA2,0.01004984276657678,5.372417,0.859029483795166
